index                            shard prirep ip         segment generation docs.count docs.deleted     size size.memory committed searchable version compound
.monitoring-kibana-7-2023.12.06  0     p      172.17.0.2 _4r            171        500            0  376.8kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.06  0     p      172.17.0.2 _4s            172         14            0   25.8kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.06  0     p      172.17.0.2 _4t            173          4            0   19.5kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.07  0     p      172.17.0.2 _33            111        706            0  506.5kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.07  0     p      172.17.0.2 _3d            121        746            0  531.8kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.07  0     p      172.17.0.2 _3e            122         14            0   25.8kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.07  0     p      172.17.0.2 _3f            123         12            0   24.7kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.07  0     p      172.17.0.2 _3g            124         14            0   25.7kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.07  0     p      172.17.0.2 _3h            125         14            0   25.7kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.07  0     p      172.17.0.2 _3i            126         14            0   25.7kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.07  0     p      172.17.0.2 _3j            127         14            0   25.6kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.07  0     p      172.17.0.2 _3k            128          6            0     21kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.08  0     p      172.17.0.2 _1p             61        362            0  279.2kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.08  0     p      172.17.0.2 _1z             71        408            0  319.1kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.08  0     p      172.17.0.2 _20             72         14            0   25.7kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.08  0     p      172.17.0.2 _21             73         14            0   25.8kb           0 true      true       9.6.0   true
.monitoring-kibana-7-2023.12.08  0     p      172.17.0.2 _22             74          8            0   22.5kb           0 true      true       9.6.0   true
elastic-index                    0     p      172.17.0.2 _9               9         20            0  837.6kb           0 true      true       9.6.0   true
elastic-index                    0     p      172.17.0.2 _b              11         48            0    1.9mb           0 true      true       9.6.0   true
elastic-index                    0     p      172.17.0.2 _c              12          4            0  176.4kb           0 true      true       9.6.0   true
elastic-index                    0     p      172.17.0.2 _d              13          4            0    165kb           0 true      true       9.6.0   true
elastic-index                    0     p      172.17.0.2 _e              14          8            0  338.9kb           0 true      true       9.6.0   true
elastic-index                    0     p      172.17.0.2 _f              15          4            0  182.4kb           0 true      true       9.6.0   true
elastic-index                    0     p      172.17.0.2 _g              16          4            0  179.4kb           0 true      true       9.6.0   true
elastic-index                    0     p      172.17.0.2 _h              17          4            0  179.2kb           0 true      true       9.6.0   true
elastic-index                    0     p      172.17.0.2 _i              18          4            0  183.4kb           0 true      true       9.6.0   true
elastic-index                    0     p      172.17.0.2 _j              19         12            0  503.3kb           0 true      true       9.6.0   true
my-index-01                      0     p      172.17.0.2 _0               0          1            0    4.4kb           0 true      true       9.6.0   true
performance_metrics              0     p      172.17.0.2 _0               0         20            0    7.4kb           0 true      true       9.6.0   true
